,Buyer,Average Purchase Price
0,0092584 Bc Limited - Kelowna Toyota,115.2808333333333
1,052430 Nb Limited,105.835
2,052500 Nb Limited,87.29142857142857
3,0702920 Bc Limited - Harris Mazda Nanaimo,121.1608163265306
4,0851845 Bc Limited - Vernon Kia,92.232
5,0950891 Bc Limited - Fair Deal Auto Sales,131.36000000000004
6,0960216 Bc Limited,85.60000000000001
7,0976736 Bc Limited - Surrey Mitsubishi,142.248
8,1 A Auto Sale,24.035
9,1 Absolute Motor Cars,131.82999999999998
10,1000021269 Ontario Limited - North Bay Mazda,113.37388888888889
11,10000972 Manitoba Limited,94.4718181818182
12,1000219133 Ontario Inc,181.95666666666668
13,1000307557 Ontario Inc - Smiths Falls Hyundai,121.79
14,1000311702 Ontario Inc,88.045
15,1000625066 Ontario Inc,99.35
16,1000705097 Ontario Limited,100.9
17,10007069 Manitoba Limited,101.87818181818184
18,10027766 Manitoba Limited - The Motor Broker,109.96875
19,10028832 Manitoba,142.465
20,10053626 Manitoba Limited - Sisson Auto Finance Sales,113.68
21,10079387 Manitoba Limited,126.59
22,101 Auto Trading Company,93.84
23,10117051 Manitoba Limited,-100.0
24,10174289 Canada Inc,138.1188888888889
25,10174490 Manitoba Limited,140.87
26,10180833 Manitoba,120.59
27,10185467 Manitoba Inc,104.64
28,1019955 Ontario Inc,87.09
29,102001017 Saskatchewan Limited,100.16
30,102079216 Saskatchewan Limited,120.2
31,102112022 Saskatchewan Corp,103.55
32,102123012 Saskatchewan Limited,108.6
33,10465020 Canada Inc,90.625
34,1060038 Ontario Limited - Midtown Motors,104.88833333333332
35,1068827 Ontario Inc,102.85814960629922
36,1068827 Ontario Inc - Grace Motors,112.16846153846151
37,10977284 Canada Inc - Wheeler Dealer,74.90350000000001
38,10X Fine Auto Inc,94.41
39,11 Motors,101.96999999999998
40,11003631 Canada Inc,94.2
41,11071971 Canada Inc - Lakeview Motors,123.48
42,11084836 Canada Inc - Buckingham Hyundai,119.15285714285714
43,1111978 Holdings Inc - Motowise Auto,201.98525
44,1114108 Ontario Inc,85.17344262295082
45,11255258 Canada Inc - Jma Motors,90.915
46,1155760 Ontario Limited - Agincourt Mazda,96.93
47,11614037 Canada Inc - Envoy Auto Sales,105.61833333333334
48,11639790 Canada Inc - Jtm Motors,80.11
49,1180333 Bc Limited,97.72882352941176
50,1180365 Ontario Inc - Good Cars Only,115.17222222222222
51,1194837 Bc Limited - Drivers Auto Center,148.24909090909088
52,1202894 Ontario Inc - Edwards Mazda,109.32091836734696
53,12051389 Canada Inc,109.86
54,12076543 Canada Inc - Auto Pro,102.96
55,1223464 Bc Limited Dba Bannister Gm Chilliwack,116.28533333333334
56,1223465 Bc Limited Dba Bannister Nissan Chilliwack,112.995
57,1228242 Ontario Limited - Diamonds Auto Sales,161.15
58,1231525 Ontario Limited - Oxford Motors,110.28
59,1237321 Alberta Inc - Wild Mile Auto Sales,109.12272727272726
60,1238682 Bc Limited,156.62
61,12416221 Canada Inc,112.32210526315792
62,125 Auto Sales,120.77333333333333
63,1257707 Ontario Limited - Oakville Honda,114.58
64,1270765 Ontario Inc,103.14769230769232
65,1272266 Bc Limited,99.44666666666669
66,127395 Canada Inc,177.97
67,1275590 Bc Limited,96.30181818181818
68,1282252 Bc Limited,96.6
69,12845237 Canada Inc,177.2225
70,1292448 Ontario Limited - Used Trucks Ottawa,96.06925925925924
71,1292475 Ontario Inc - Edsons Auto Sales,120.65
72,1298310 Bc Limited,106.39
73,1302164 Bc Limited - Penticton Honda,127.49008
74,1302190 Bc Limited - Penticton Hyundai,118.64466666666668
75,1303218 Ontario Limited - Msd Motors,58.1375
76,1310027 Bc Limited,112.27
77,1310027 Bc Limited - Uc Auto,82.88333333333333
78,13241742 Canada Inc - Diron Auto Sales,102.22464788732394
79,13323030 Canada Inc,101.98209876543208
80,13498140 Canada Inc - Stratford Kia,111.17855072463767
81,13610926 Canada Inc,134.105
82,13650430 Canada Inc,17.355000000000004
83,1372867 Bc Limited,73.88
84,1378234 Bc Limited - Pacific Honda,127.914
85,13817482 Canada Inc,96.22
86,13938301 Canada Inc,97.22
87,1395322 Ontario Limited,112.39
88,1395860 Ontario Inc - Bulletproof Auto Sales,83.08000000000001
89,14016467 Canada Inc - Murad Car Sales,147.83083333333337
90,141951 Canada Inc,96.93
91,1425012 Ontario Inc - Deresti Motors,107.33764705882352
92,1437404 Ontario Inc - Belleville Hyundai,112.91777777777776
93,1438722 Bc Limited,117.61560975609756
94,1468658 Ontario Inc - Palladino Mazda,109.833125
95,1511905 Ontario Inc - Guelph Volkswagen,113.28285714285713
96,1514831 Ontario Limited - Pathway Hyundai,108.51206611570248
97,1551826 Ontario Inc - Sky Motors Canada,114.48571428571428
98,1588531 Ontario Inc - Auto Choice Sales,100.325
99,159191 Canada Inc,112.224
100,1592795 Ontario Inc - Mikes Auto Zone,78.05
